"fen","material_cmp","castle_white_kingside","castle_white_queenside","castle_black_kingside","castle_black_queenside"
"rn2kb1r/pb2pppp/1p3n2/1p1qN3/1B1P2P1/5P1P/P1P3B1/1R1QK2R w Kkq - 3 16","-1","1","0","1","1"
"rnbqkbnr/p1pppppp/1p6/8/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2","0","1","1","1","1"
"r1b4r/ppN2kpp/5p2/4p3/1b1n4/3P2N1/PPn2PPP/2B2RK1 b - - 0 15","-1","0","0","0","0"
"r1b1k2r/bpp2pp1/p2q1n1p/4p3/N1B1P3/P1PP3P/1P2Q1P1/R1B1K2R w KQkq - 1 14","0","1","1","1","1"
"r1bqk2r/pppnbppp/4pn2/3p4/2PP4/5NP1/PP2PPBP/RNBQK2R w KQkq - 4 6","0","1","1","1","1"
"3r1rk1/pppq1ppp/2n5/3np3/2BP4/2P1P3/PBQ2PPP/R3K2R w KQ - 0 14","0","1","1","0","0"
"rnbqkbnr/1pp2ppp/3pp3/p7/2PPP3/2N5/PP3PPP/R1BQKBNR b KQkq - 1 4","0","1","1","1","1"
"rnbqkbnr/pppp1ppp/8/4p3/8/4PQ2/PPPP1PPP/RNB1KBNR b KQkq - 1 2","0","1","1","1","1"
"r1bqkbnr/pp1ppppp/2n5/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3","0","1","1","1","1"
"rnb1kbnr/ppp2ppp/4p3/3q4/3P4/8/PPP2PPP/RNBQKBNR w KQkq - 0 4","0","1","1","1","1"
"1k1r4/5pp1/P3r1b1/2p3q1/2N4Q/1P1PP3/2P3P1/1K1R3R b - - 0 27","1","0","0","0","0"
"8/4k1pp/1R6/p1P1B3/1P6/2K2r2/P5qP/8 w - - 2 27","-1","0","0","0","0"
"r1bqkbnr/pp1ppppp/2n5/8/1p2P3/5N2/PBPP1PPP/RN1QKB1R b KQkq - 0 4","-1","1","1","1","1"
"6k1/ppp3pp/8/1P3p2/2rP1PnP/6P1/8/5K2 w - - 0 33","-1","0","0","0","0"
"r1b1k3/3p1pp1/p1nbpr2/7p/4P3/1P1P1N1P/P3B1P1/1R3K1R b q - 0 24","-1","0","0","0","1"
"r2qr1k1/3bp1bp/1p1p1np1/p1pP2B1/2P4N/1P1B3P/P1Q2PP1/2K1R2R w - - 0 22","0","0","0","0","0"
"2kr2nr/ppp3pp/3pqp2/3Np3/4P3/P1PP4/1P2QPPP/R4RK1 b - - 0 14","0","0","0","0","0"
"rn1qkb1r/ppp1pppp/5n2/3p4/6b1/3PP3/PPPN1PPP/R1BQKBNR w KQkq - 1 4","0","1","1","1","1"
"r3r3/p1b4k/2p2pNP/6R1/3BP3/8/bPP4R/2K5 b - - 0 29","1","0","0","0","0"
"rnbqkb2/pppppppr/5n1p/3N4/2BPP3/5Q2/PPP2PPP/RNB1K2R w KQq - 3 8","0","1","1","0","1"
"r4rk1/pp3ppp/1q3n2/2b5/P2N1P2/5QP1/1P3B1P/2R1R1K1 b - - 0 21","0","0","0","0","0"
"r1bqkb1r/ppp2ppp/2n5/3np1N1/2B5/3P1Q2/PPP2PPP/RNB1K2R b KQkq - 1 7","0","1","1","1","1"
"r1bq1rk1/1p1nbppp/2p1pn2/p2p4/2PP4/1P3NP1/PB2PPBP/RN1Q1RK1 w - - 0 9","0","0","0","0","0"
"r2qkb2/p1p1p1p1/1pn5/3p2pr/3Pn1Q1/2PNP3/PP3PPP/R3K2R b KQq - 0 13","-1","1","1","0","1"
"rnbqkb1r/ppp1pp1p/3p1np1/8/5P2/1P3N2/PBPPP1PP/RN1QKB1R b KQkq - 1 4","0","1","1","1","1"
"rnbqkbnr/ppp2ppp/4p3/3p4/4P3/3P4/PPP2PPP/RNBQKBNR w KQkq - 0 3","0","1","1","1","1"
"2kr3r/1pp2pp1/p1n1p1q1/b1Pp1b1p/P2P4/1QP1PNBP/4BPP1/2R2RK1 w - - 0 17","0","0","0","0","0"
"r1bk1bnr/pppp1ppp/8/4P3/1n1N4/qRN5/P1PBPPPP/3QKB1R b K - 7 9","0","1","0","0","0"
"4qk1r/pp2b1p1/4Qn2/4B3/3p3p/3P3P/PPP2PP1/R4RK1 b - - 4 17","1","0","0","0","0"
"r5k1/p4pp1/7p/qp1pPb1r/4p3/PQP3P1/5P1P/R3R1K1 w - - 0 23","-1","0","0","0","0"
"rn2k1n1/ppp1b1p1/3p4/3P1p1r/4pP1p/3BB3/PPPN2PP/R3K2R w KQq - 0 14","-1","1","1","0","1"
"rnb1k2r/ppp1qp2/3bp2p/3pN1p1/3Pn3/P5B1/1PP1PPPP/RN1QKB1R w KQkq - 2 9","0","1","1","1","1"
"rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1","0","1","1","1","1"
"6k1/2R2p2/5p1p/1p6/4P3/1r3P2/1P4PP/6K1 b - - 0 25","1","0","0","0","0"
"5rk1/p2brpqp/5R2/2NPn3/2P3p1/P1Q1P2P/1P2B1PK/4BR2 b - - 0 36","1","0","0","0","0"
"r1b2r2/p4Nk1/1p4p1/2p5/3p1pK1/3P3P/PPP2P2/3R2R1 w - - 1 35","0","0","0","0","0"
"rn1k1b1r/1p6/p2p1pnp/2qPp3/4b3/6P1/P3KP1P/R2Q3R w - - 0 20","-1","0","0","0","0"
"r1b2rk1/2ppqpp1/p1n2n1p/1p2p3/4P2B/1BPP1N2/P1PQ1PPP/R3K2R b KQ - 3 11","0","1","1","0","0"
"4r3/k7/pp4P1/2B5/7K/8/PP1R4/8 w - - 0 45","1","0","0","0","0"
"8/1p1k2Bp/8/r2P4/2p5/8/1P3nPP/1K1R3R w - - 0 27","1","0","0","0","0"
"1r3rk1/6pp/4N3/3p1pq1/p1p1p3/2P1P2P/PP3PP1/1R1Q1RK1 b - - 3 25","1","0","0","0","0"
"r5k1/1p1n2pp/3N4/1p6/8/8/b4PPP/4R1K1 b - - 3 28","-1","0","0","0","0"
"rn1qkbnr/pp2pppp/2p5/3p1b2/2PP4/4P3/PP3PPP/RNBQKBNR w KQkq - 1 4","0","1","1","1","1"
"5r2/1R1n3p/3k4/8/3BB3/P4P2/1PPK1P1P/8 w - - 5 34","1","0","0","0","0"
"r1bq1rk1/pp2bpp1/3ppn1p/2n5/2P2B2/2N1PN2/PPB2PPP/R2Q1RK1 b - - 1 10","0","0","0","0","0"
"r1bq1rk1/ppp3bp/2n1p1p1/4Np2/3P1P2/2NB4/PP3PPP/R2Q1RK1 b - - 3 11","0","0","0","0","0"
"r2q1rk1/1bp1bpp1/p1n1pn1p/1p6/1P1P4/P1N1PN1P/BB3PP1/R2Q1RK1 b - - 3 12","0","0","0","0","0"
"rnb1k2r/ppp2ppp/4pn2/6q1/1b1B4/2NP1B2/PPP1NPPP/R2QK2R w KQkq - 4 10","0","1","1","1","1"
"r5kr/pp4p1/4q2p/4Pp2/2p3PR/2P1P3/PPQ2P2/2K4R w - - 0 24","1","0","0","0","0"
"2rr2k1/pbq1Nppp/1p3n2/1Pn5/2B1pP2/P1N1P3/1B2Q1PP/R2R2K1 b - - 0 18","1","0","0","0","0"
"8/6kp/p4pp1/Pp1bp3/1P2q1P1/4P1KP/1Q2NP2/8 w - - 4 36","0","0","0","0","0"
"r2q1rk1/ppp2pp1/5p1p/4N3/8/P1PP2P1/2P1QP1P/R4RK1 b - - 0 14","1","0","0","0","0"
"r2qk1r1/pb1pnp1p/1p2pp2/2b5/8/2PBPN2/PP1N1PPP/R2QK1R1 b Qq - 8 11","0","0","1","0","1"
"r3k2r/ppp1qppp/2nbpn2/3pNb2/3P1P2/P3P3/1PP1B1PP/RNBQ1RK1 b kq - 6 8","0","0","0","1","1"
"7r/Q4ppp/4pk2/3p4/8/4P3/PrP2PPP/R4RK1 w - - 1 21","1","0","0","0","0"
"rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1","0","1","1","1","1"
"r4k2/pb4p1/1p2Rpp1/2p3Q1/2Pp4/1P1P3P/1P3PP1/6K1 b - - 0 26","1","0","0","0","0"
"r1bq2k1/pppn2rp/4pnp1/3pNp2/3P4/2PBPNP1/PP3PP1/R2QK2R w KQ - 4 12","0","1","1","0","0"
"rnb1kb1r/pp5p/1q2pp2/2p5/Q2P4/2P2N2/PP3PPP/RN2KB1R b KQkq - 1 9","1","1","1","1","1"
"rn1qkb1r/ppp1pppp/5n2/3p4/3P2b1/2N2N2/PPP1PPPP/R1BQKB1R w KQkq - 4 4","0","1","1","1","1"
"rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1","0","1","1","1","1"
"rnbqkbnr/pppp1ppp/8/4p3/4P3/2N5/PPPP1PPP/R1BQKBNR b KQkq - 1 2","0","1","1","1","1"
"1k6/2p5/p2b3p/Pp4p1/3Q4/6PP/7K/4rq2 w - - 2 40","-1","0","0","0","0"
"r3kb1r/ppp3pp/3p4/3PB3/8/5bP1/PPP2NqP/R2QK2R w KQkq - 0 15","0","1","1","1","1"
"5r2/7k/1p6/p1p5/7P/1P6/P2PK3/7R w - - 0 31","1","0","0","0","0"
"r1bqk1nr/ppp1bppp/2n1p3/8/2BP4/4PN2/PP3PPP/RNBQ1RK1 b kq - 2 6","0","0","0","1","1"
"2rqr1k1/1p2ppbp/p1n2np1/2Np4/3P2b1/BP3NP1/P3PPBP/R2QR1K1 b - - 6 13","0","0","0","0","0"
"rnbqk1nr/pp1p1p1p/6p1/2pP4/8/2b2N2/PPP2PPP/R1BQKB1R w KQkq - 0 7","-1","1","1","1","1"
"r1bqk1nr/pp1p1ppp/2n1p3/2b5/4P3/3B1N2/PPP2PPP/RNBQK2R b KQkq - 1 5","0","1","1","1","1"
"r2q1k2/1p4p1/1b2bnp1/pP1p2B1/P2Pp3/1QP5/5PPP/RN3RK1 w - - 0 19","1","0","0","0","0"
"rnbqkbnr/pppp1ppp/8/4p3/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2","0","1","1","1","1"
"1k1r4/pppb2p1/2Np4/QPP2p1q/P4Pn1/3P1Bp1/1B5r/R4RK1 b - - 2 27","1","0","0","0","0"
"r1bqkbnr/pppp1p1p/2n3p1/4p3/2B1P3/5Q2/PPPP1PPP/RNB1K1NR b KQkq - 1 4","0","1","1","1","1"
"rn1qkbnr/pp3ppp/2p1p3/3p4/3P4/2P2P1P/PP2BPP1/RNBQK2R b KQkq - 1 6","0","1","1","1","1"
"rnbqkbnr/ppp1pppp/3p4/8/4P3/2N5/PPPP1PPP/R1BQKBNR b KQkq - 1 2","0","1","1","1","1"
"r2r3k/ppp1q1pp/5p2/n3pP2/1N2P3/2P2Q2/PP4PP/3R1RK1 b - - 6 21","0","0","0","0","0"
"r1b1kbnr/ppp2ppp/2n1p3/3q4/3P4/2N1P3/PP3PPP/R1BQKBNR b KQkq - 1 5","0","1","1","1","1"
"rn1qr1k1/pb1p1ppp/1p1Bpn2/2b5/4P3/P1N2N2/1PP2PPP/R2QKB1R w KQ - 3 9","0","1","1","0","0"
"rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1","0","1","1","1","1"
"r2qk2r/p2pnppp/1p2p1n1/1N6/2PP4/3BPb2/2Q2PPP/R3K2R w KQkq - 0 14","-1","1","1","1","1"
"4r1k1/5pp1/1pQ2b1p/1Np5/PpPp4/1P1P2P1/4qP1P/R5K1 b - - 2 26","0","0","0","0","0"
"rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1","0","1","1","1","1"
"r4rk1/2p1b1pp/p4p2/4p3/2p1P3/1PQ4P/P1P2PP1/R2R2K1 w - - 0 20","1","0","0","0","0"
"r1b3k1/5qp1/pn2p2p/1p1pPr2/3P2Q1/1P4N1/PB2RP1P/6K1 b - - 1 26","-1","0","0","0","0"
"rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2","0","1","1","1","1"
"r1bqk2r/1pp2ppp/p1p2n2/8/4P3/5N2/PPP2PPK/RNBQ1R2 b kq - 0 9","1","0","0","1","1"
"rnb1k2r/pp2pp1p/3p2p1/q1pP4/4PB1P/2b5/PPP3P1/R2QKBNR w KQkq - 0 9","-1","1","1","1","1"
"r2qkbnr/pp2pppp/8/2p5/3n4/2NP4/PP3PPP/R1BQK1NR w KQkq - 0 8","-1","1","1","1","1"
"r1bqkb1r/2p2ppp/p1p2n2/4p3/1Pp4P/6P1/P2PPP2/RNBQK1NR w KQkq - 0 8","-1","1","1","1","1"
"N4k1r/1b1p1ppp/2p5/p3p1B1/8/8/PPP1BPPP/R2QK2R w KQ - 0 14","1","1","1","0","0"
"8/8/5k2/5pp1/1r6/5P2/4K3/6R1 b - - 0 63","-1","0","0","0","0"
"2kr3r/2pp1ppp/Rpp5/8/QbP2BK1/2q5/5PPP/5B1R b - - 7 23","0","0","0","0","0"
"rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1","0","1","1","1","1"
"3q4/p7/1p2B3/6k1/3p1pp1/1P1Rb3/1P2P2r/4KR2 w - - 6 34","-1","0","0","0","0"
"3r4/pp1r1pkp/2p1pnp1/2P1R3/1q1P1Q2/1P4PP/P4PB1/3R2K1 w - - 1 23","0","0","0","0","0"
"1r2r1k1/1p1b2pp/p1n1pq2/P2p1p2/1P1P4/Q1PB1N2/5PPP/R3R1K1 b - - 0 18","0","0","0","0","0"
"5r2/3bp1kp/2p3p1/1p4N1/p2n3P/8/PP4P1/2R3K1 w - - 3 26","-1","0","0","0","0"
"r1r3k1/p4p2/3pbnpQ/4p3/3pP1P1/Pq3P2/2P5/1NKR1B1R w - - 2 22","-1","0","0","0","0"
"rnbqkbnr/pp2pppp/8/2pp4/8/5NP1/PPPPPPBP/RNBQK2R b KQkq - 1 3","0","1","1","1","1"
"2k4r/1p1r3p/p4qp1/2Pp1p2/5P2/2P2B2/P4PPP/3R1RK1 b - - 4 25","-1","0","0","0","0"
"r1bq4/pppp1kpp/2n2n2/2bNp3/4P3/8/PPPP1PPP/R1BQK2R b KQ - 1 8","0","1","1","0","0"
"r1b1r1k1/p1p2p2/2p2p1p/3p4/1b1PN3/2P2N2/PP3PPP/R3K2R b KQ - 0 14","0","1","1","0","0"
"rnbqkbnr/ppp1pppp/8/3P4/8/8/PPPP1PPP/RNBQKBNR b KQkq - 0 2","1","1","1","1","1"
"rn2r1k1/p3qpp1/1p1b1n1B/3p4/3P4/PpN5/1PPQ1PPP/R3R1K1 b - - 0 19","-1","0","0","0","0"
"2kr3r/ppp2ppp/2nbp3/7q/PP1P2b1/2P1nN1P/4BPP1/RN1Q1RK1 w - - 0 12","-1","0","0","0","0"
"2k2b1r/ppp1p2p/4Npq1/2P2np1/8/2N3B1/PP2BPPP/1R2R1K1 w - - 1 17","1","0","0","0","0"
"2rqk3/pp1nnp1r/4p1pP/3pP1BP/1bpP4/2N2P2/PPPQN3/2KR3R b - - 0 17","1","0","0","0","0"
"3k4/2r4p/1p2p1p1/p3P3/Q2P1b1P/5N1K/PP4P1/8 b - - 2 26","1","0","0","0","0"
"8/n4kp1/p7/2p5/3p4/P2q2P1/6K1/8 w - - 0 36","-1","0","0","0","0"
"8/4k3/3p4/5p2/2B1p3/8/5b2/3K4 w - - 0 51","-1","0","0","0","0"
"rn2k2r/pp3ppp/2p2n2/8/1b6/2N2N2/PPbBBPPP/R3R1K1 b kq - 5 12","-1","0","0","1","1"
"r5k1/2qb2pp/p3p3/1p1pPrQ1/8/6PN/PP3P1P/R4RK1 w - - 1 23","0","0","0","0","0"
"r1bqkbnr/pp3ppp/8/2PPp3/1n6/8/P3PPPP/RNBQKBNR w KQkq - 0 6","1","1","1","1","1"
"r1bqk2r/pppp1ppp/2n2n2/2b1p3/2B1P3/2P2N2/PP1P1PPP/RNBQK2R w KQkq - 1 5","0","1","1","1","1"
"6k1/Qp1b1ppp/8/3P4/N1K5/1B6/PP4PP/2q5 w - - 4 30","1","0","0","0","0"
"2b1k3/2q1bp2/p3p1p1/1p1pP2r/1N1N1P2/P3Q3/1PP5/1K1R3R w - - 2 31","1","0","0","0","0"
"r2qk3/pppn1ppQ/4p3/3pP3/8/4P1P1/PPP2PP1/RN2K3 b Qq - 0 12","1","0","1","0","1"
"1r3r1k/p2qppbp/8/3p1p2/1QpPn3/2P1PN2/P4PPP/R1B2RK1 w - - 2 18","0","0","0","0","0"
"2k4r/ppp5/2n2p2/3p4/3Pp2p/2P1B3/PP1K1P2/6RR w - - 1 29","1","0","0","0","0"
"N1b2r2/pp1k1p2/2np2pp/2b1p3/2B1P3/3P2N1/PPP2PPP/R3K2R b KQ - 0 14","1","1","1","0","0"
"rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1","0","1","1","1","1"
"8/2q1k1pp/1p2bp2/1P2p3/2r4P/4P1P1/5PB1/QR4K1 w - - 0 34","0","0","0","0","0"
"2k5/ppp1bp1p/4p3/3pP3/3P1P1p/P7/1PK1NBN1/8 b - - 0 28","1","0","0","0","0"
"r3k3/pp4p1/q3pb1r/3p4/6Q1/2NP1P2/1P2K1P1/8 b q - 5 25","-1","0","0","0","1"
"r1b2rk1/pp3ppp/2n2n2/1N6/4Pb2/3B1N1P/PP1K1PP1/R1B4R w - - 2 14","1","0","0","0","0"
"r2q1rk1/ppp2ppp/3bpn2/4P3/4p3/8/PPP2PPP/RNBQ1RK1 w - - 1 10","-1","0","0","0","0"
"rn2kbnr/5ppp/2p1pq2/1p6/p7/P1N1PN2/1P1P1PPP/R1BQK2R w KQkq - 1 11","0","1","1","1","1"
"8/8/3B4/7K/7P/7k/8/8 b - - 2 47","1","0","0","0","0"
"r4rk1/pp1b1ppp/3bpn1q/1B6/1n6/P3PN2/1BQ2PPP/RN2K2R w KQ - 0 14","-1","1","1","0","0"
"r4rk1/1p3pp1/p2pbnnp/4p3/4P3/PPqB1N1P/2P1QPPB/R4RK1 w - - 3 18","0","0","0","0","0"
"rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1","0","1","1","1","1"
"r1bq1rk1/pppn1pb1/3p1Bpp/3Pp3/2B1P3/5N2/PPP2PPP/RN1QR1K1 b - - 0 9","1","0","0","0","0"
"rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1","0","1","1","1","1"
